Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,0.01,0.4881705318583357
75% Corpus,8,symmetric,0.31,0.49586882847865016
75% Corpus,8,symmetric,0.61,0.4688539589742329
75% Corpus,8,symmetric,0.9099999999999999,0.4684300591583192
75% Corpus,8,symmetric,symmetric,0.5113839610368892
75% Corpus,8,asymmetric,0.01,0.4711139324609014
75% Corpus,8,asymmetric,0.31,0.4165142045632022
75% Corpus,8,asymmetric,0.61,0.406292971864344
75% Corpus,8,asymmetric,0.9099999999999999,0.44965256706144446
75% Corpus,8,asymmetric,symmetric,0.476691416425536
75% Corpus,9,0.01,0.01,0.44824970536487563
